Hero,WinRate,PickRate,KDA-Ratio,ID
Spectre,57.88,10.67,3.87,
Zeus,57.15,16.56,3.87,
Wraith King,55.72,13.39,3.5,
Chaos Knight,54.83,8.32,2.71,
Underlord,54.80,4.81,2.59,
Centaur Warrunner,54.69,5.31,2.72,
Vengeful Spirit,54.67,7.82,2.41,
Riki,54.57,15.95,3.11,
Crystal Maiden,53.96,13.21,2.08,
Abaddon,53.68,3.42,2.8,
Spirit Breaker,53.67,13.83,3.04,
Axe,53.50,17.61,2.31,
Elder Titan,53.25,2.58,2.67,
Pudge,53.12,42.38,2.4,
Necrophos,53.08,11.98,2.79,
Shadow Shaman,53.02,14.55,1.8,
Ursa,53.01,8.07,2.73,
Undying,52.92,4.14,2.72,
Lich,52.86,6.53,2.67,
Ancient Apparition,52.60,5.58,3.0,
Omniknight,52.50,5.76,2.34,
Warlock,52.33,4.23,2.48,
Bloodseeker,51.95,15.62,2.52,
Dragon Knight,51.89,8.27,2.54,
Clockwerk,51.85,6.08,2.74,
Silencer,51.85,9.58,2.71,
Ogre Magi,51.83,9.91,2.29,
Brewmaster,51.79,2.41,2.83,
Bristleback,51.67,15.63,2.53,
Treant Protector,51.66,3.40,2.38,
Drow Ranger,51.63,11.64,2.21,
Luna,51.36,11.05,2.47,
Phoenix,51.32,4.31,2.8,
Night Stalker,51.19,4.20,2.93,
Jakiro,51.12,7.82,2.19,
Sven,50.97,12.53,2.37,
Visage,50.96,1.49,2.74,
Juggernaut,50.78,22.33,2.7,
Terrorblade,50.78,4.81,2.5,
Phantom Assassin,50.76,25.02,2.61,
Clinkz,50.76,9.19,2.7,
Phantom Lancer,50.54,11.04,2.7,
Tidehunter,50.52,5.54,2.8,
Lycan,50.47,2.05,2.57,
Skywrath Mage,50.16,9.45,2.44,
Witch Doctor,50.13,9.25,2.18,
Enigma,50.07,4.41,2.54,
Nyx Assassin,50.01,7.14,2.46,
Faceless Void,49.80,16.75,2.84,
Storm Spirit,49.72,11.61,3.08,
Medusa,49.64,7.97,2.96,
Mirana,49.60,15.15,3.23,
Venomancer,49.55,7.02,2.37,
Anti-Mage,49.48,17.20,2.5,
Sniper,49.47,27.99,2.75,
Weaver,49.45,9.34,3.31,
Earthshaker,49.45,16.21,2.33,
Dark Willow,49.41,7.20,2.4,
Outworld Devourer,49.22,7.95,2.72,
Invoker,49.17,25.76,3.07,
Viper,49.12,9.74,2.72,
Troll Warlord,49.11,8.51,2.34,
Dazzle,49.06,4.23,2.3,
Slardar,49.04,8.15,2.28,
Beastmaster,48.93,1.97,2.18,
Tinker,48.87,13.99,3.09,
Disruptor,48.85,6.91,2.41,
Bounty Hunter,48.74,8.76,2.83,
Slark,48.69,13.69,2.61,
Techies,48.63,5.28,1.9,
Doom,48.54,6.08,2.45,
Lion,48.32,14.46,1.93,
Kunkka,48.06,12.23,2.7,
Huskar,47.94,7.63,1.78,
Legion Commander,47.86,18.27,2.28,
Winter Wyvern,47.84,3.68,2.3,
Windranger,47.64,15.83,2.85,
Sand King,47.61,8.44,2.38,
Grimstroke,47.46,2.05,2.36,
Bane,47.41,3.51,2.19,
Meepo,47.36,3.29,2.14,
Dark Seer,47.34,1.82,2.62,
Shadow Demon,47.28,2.89,2.18,
Ember Spirit,47.18,6.73,3.02,
Enchantress,47.10,4.01,2.68,
Shadow Fiend,47.10,22.03,2.68,
Keeper of the Light,46.92,4.25,2.38,
Razor,46.84,4.27,2.44,
Death Prophet,46.38,3.46,2.31,
Gyrocopter,46.32,5.21,2.69,
Arc Warden,46.24,1.89,2.6,
Morphling,46.24,5.98,2.95,
Rubick,46.21,11.35,2.37,
Leshrac,46.03,2.18,2.04,
Queen of Pain,45.97,7.87,2.96,
Lifestealer,45.92,6.88,2.77,
Pugna,45.92,4.76,2.16,
Naga Siren,45.88,1.96,2.62,
Monkey King,45.38,12.14,2.27,
Broodmother,45.36,2.42,1.97,
Tusk,45.24,6.30,2.38,
Alchemist,45.21,5.45,2.12,
Magnus,45.06,5.44,2.37,
Chen,44.76,0.90,2.17,
Pangolier,44.51,6.96,2.38,
Timbersaw,44.50,5.61,2.16,
Oracle,44.27,1.97,2.42,
Earth Spirit,43.75,3.22,2.1,
Lina,43.74,8.54,2.14,
Templar Assassin,43.45,4.23,2.55,
Batrider,43.03,1.72,2.35,
Tiny,42.75,5.87,2.36,
Nature's Prophet,41.97,5.96,1.93,
Puck,41.91,4.48,2.68,
Io,40.01,2.05,1.83,
Lone Druid,38.44,1.48,2.14,
